ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
E1,Experiment,Freeze owner-approved P1B contract,N/A,C7,experiment,EXP-P1B-STATE,planned,Record owner approval and freeze the applicability map router rule aggregation and fixed-sequence gate,N/A,0,N/A,Frozen config validates and its canonical hash equals 151648d511c7,DONE,0,N/A,yes,Contract approval is not a paper result
E2,Experiment,Implement immutable router-state builder,N/A,C7,experiment,EXP-P1B-STATE,planned,Build calibration-only constants and historical-utility scores while verifying every P0b and P1a ancestor,N/A,0,N/A,State builder passes unit tests and refuses mismatched or mutable evidence,DONE,0,E1,yes,State must be created before sealed-origin inference
E3,Experiment,Implement Chronos-2 sealed evaluator,N/A,C8,experiment,EXP-MAIN-1,planned,Create pre-inference decisions and exhaustively evaluate frozen candidate policies on Chronos-2 sealed origins,N/A,0,N/A,Chronos runner passes syntax lint and decision-integrity tests,DONE,0,E2,yes,Execution remains pending in Colab
E4,Experiment,Implement TimesFM-3 sealed evaluator,N/A,C8,experiment,EXP-MAIN-1,planned,Create pre-inference decisions and exhaustively evaluate frozen candidate policies on TimesFM-3 sealed origins,N/A,0,N/A,TimesFM runner passes syntax lint and decision-integrity tests,DONE,0,E2,yes,Execution remains pending in Colab
E5,Experiment,Implement fixed-sequence P1B analysis,N/A,C8,experiment,EXP-MAIN-1,planned,Join immutable decisions to losses and compute equal-group bootstrap tests and backbone safety checks,N/A,0,N/A,Analysis passes synthetic tests and rejects nonfinite selected SQL,DONE,0,E3;E4,yes,No sealed outcomes are available during implementation
E6,Experiment,Materialize frozen P1B router state,N/A,C7,experiment,EXP-P1B-STATE,verified,Run the CPU prerequisite notebook to write and hash the immutable calibration-only router state,N/A,0,N/A,Private state manifest reports verified and no sealed origin was instantiated,DONE,0,E2,yes,Verified in evidence/method/p1b_router_state_summary.yaml; not paper-result evidence
E7,Experiment,Run Chronos-2 P1B sealed evaluation,N/A,C8,experiment,EXP-MAIN-1,verified,Execute exhaustive frozen-policy inference for all four Chronos-2 task groups,N/A,0,N/A,All expected Chronos decision and loss artifacts pass checksum and completion checks,DONE,0,E6,yes,Verified completion archived in evidence/runs/p1b_chronos2_completion_summary.yaml; aggregate result remains sealed
E8,Experiment,Run TimesFM-3 P1B sealed evaluation,N/A,C8,experiment,EXP-MAIN-1,verified,Execute exhaustive frozen-policy inference for all four TimesFM-3 task groups,N/A,0,N/A,All expected TimesFM decision and loss artifacts pass checksum and completion checks,DONE,0,E6,yes,Verified completion archived in evidence/runs/p1b_timesfm3_completion_summary.yaml; aggregate result remains sealed
E9,Experiment,Analyze sealed P1B results,N/A,C8,experiment,EXP-MAIN-1,planned,Run the frozen equal-group fixed-sequence analysis after both backbone evaluations complete,N/A,0,N/A,Analysis report verifies all inputs and records both fixed-sequence and safety decisions,TODO,0,E7;E8,yes,Do not run before both completion manifests exist
Q1,QA,Audit P1B evidence integrity,N/A,N/A,n/a,N/A,n/a,Verify hashes immutable artifacts fixed-sequence reporting and the absence of sealed-outcome tuning,N/A,0,N/A,Reproducibility audit links every reported result to a verified private artifact,TODO,0,E9,yes,Required before upgrading any paper claim
