claim_id,claim,status,required_evidence,planned_analysis,artifact
C0,FEV task schemas and temporal boundaries are leakage-safe,verified,Dataset fingerprints plus first/last window column audits,Exact schema and chronological partition checks,evidence/smoke/p0_data_audit_summary.yaml
S1,Chronos-2 native covariate and target-only FEV paths execute correctly,verified_smoke,One calibration-origin smoke with finite metrics,Implementation validation only; excluded from scientific claims,evidence/smoke/chronos2_epf_np_summary.yaml
S2,TimesFM-3 native covariate and target-only FEV paths execute correctly,verified_smoke,One calibration-origin smoke with finite metrics and pinned upstream revisions,Implementation validation only; excluded from scientific claims,evidence/smoke/timesfm3_epf_np_summary.yaml
S3,Chronos-2 all-dynamic inference crosses the frozen task-macro harm threshold,verified_screening,Paired per-item SQL across all four calibration partitions,Task-macro harm rate 0.2501 versus 0.20 threshold; paired cross-backbone decision is S5,evidence/screening/chronos2_p0a_h1_summary.yaml
S4,TimesFM-3 all-dynamic inference crosses the frozen task-macro harm threshold,verified_screening,Paired per-item SQL across all four calibration partitions,Task-macro harm rate 0.2062 versus 0.20 threshold,evidence/screening/timesfm3_p0a_h1_summary.yaml
S5,P0a H1 screen passes independently on both frozen backbones,verified_screening,Matched calibration-only harm reports for Chronos-2 and TimesFM-3,Two of two backbones pass; advance only to finite-candidate oracle screening,evidence/screening/p0a_cross_backbone_decision.yaml
S6,Chronos-2 finite candidate oracle crosses the frozen task-macro headroom threshold,verified_screening,Same-hardware losses for all predeclared policies across four calibration partitions,Task-macro oracle headroom 0.0675 versus 0.05 threshold; cross-backbone decision remains pending,evidence/screening/chronos2_p0b_h2_summary.yaml
C1,All-covariate inference harms a nontrivial fraction of series-origins,planned,Paired per-series-origin SQL for target-only and all-covariate inference,Harm-rate estimate with paired bootstrap CI,outputs/p0/paired_losses.parquet
C2,Useful covariate subsets exist beyond target-only and all-covariate policies,planned,Losses for every predeclared candidate policy at identical origins,Finite-oracle headroom with bootstrap CI,outputs/p0/oracle_headroom.json
C3,Historical covariate utility predicts future utility sign,planned,Temporally separated calibration features and evaluation utility labels,AUROC plus reliability and coverage curves,outputs/p0/predictability.json
C4,A reliability gate improves risk-coverage tradeoffs,planned,Sealed evaluation predictions from fixed selector and constant policies,Paired SQL WQL MASE and selective-risk curves,outputs/main/gating_results.parquet
C5,Behavior transfers across native covariate-aware TSFMs,planned,Matched Chronos-2 and TimesFM-3 runs,Per-backbone estimates plus interaction analysis,outputs/main/cross_backbone.json
C6,The method avoids overclaiming under shift,planned,Domain and temporal subgroup results,Failure taxonomy and worst-group analysis,outputs/main/failure_analysis.json
