name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
target_only,Native TSFM target-only inference,N/A,N/A,foundational,All four FEV tasks,SQL; WQL; MASE; WAPE,Lowest input complexity and guaranteed availability,Ignores potentially useful covariates,yes,Essential zero-shot anchor
all_dynamic,Native TSFM all-covariate inference,N/A,N/A,foundational,All four FEV tasks,SQL; WQL; MASE; WAPE,Uses every declared dynamic covariate without selection,Known to harm a nontrivial calibration fraction,yes,Essential native-covariate anchor
binary_best_constant,Calibration-best of target-only and all-dynamic,N/A,N/A,direct_competitor,All four FEV tasks,SQL,Simple leakage-safe selection with guaranteed coverage,Searches only two policies,yes,Tests whether a larger policy set is needed
fullset_best_constant,Calibration-best complete-coverage logical P0b policy,N/A,N/A,direct_competitor,All four FEV tasks,SQL,Strong fixed-policy comparator using the same candidate set,Cannot adapt by series,yes,First fixed-sequence comparator and inapplicable-group fallback
last_origin_winner,Most-recent calibration utility winner,N/A,N/A,direct_competitor,All four FEV tasks,SQL,Simple adaptive recency heuristic,High variance and ignores longer history,yes,Checks whether exponential aggregation adds value
ungated_ewm_router,EWM historical-utility router without applicability certificate,N/A,N/A,ablation_anchor,All four FEV tasks,SQL,Identical dynamic router without the proposed group certificate,Routes in groups where signal is unreliable,yes,Directly isolates the core applicability contribution
applicability_gated_router,Ours,N/A,https://github.com/FlyMe2star/covariate-safe-tsfm,proposed_method,All four FEV tasks,SQL; WQL; MASE; WAPE,Routes only where calibration evidence is certified and otherwise uses a strong constant,Applicability may be narrow,no,Method under test rather than a baseline
finite_candidate_oracle,Per-unit finite P0b policy oracle,N/A,N/A,diagnostic_upper_bound,All four FEV tasks,SQL,Measures remaining headroom within the exact candidate set,Uses evaluation outcomes and is not deployable,yes,Contextual diagnostic only
random_policy,Uniform random available policy,N/A,N/A,negative_control,All four FEV tasks,SQL,Detects accidental gains from candidate-set composition,Not a competitive method,no,Appendix negative control if compute is already available
unweighted_history_router,Mean historical-utility router without recency decay,N/A,N/A,ablation_anchor,All four FEV tasks,SQL,Tests the half-life design choice,Not covered by the P1a signal certificate,no,Secondary ablation only
ChronosX,ChronosX: Adapting Pretrained Time Series Models with Exogenous Variables,2503.12107,https://github.com/amazon-science/chronos-forecasting,related_method,External benchmarks,Task-dependent forecasting metrics,Learned past/future covariate injection,Changes model parameters and is not a matched native-input policy decision,no,Related work rather than a fair main baseline
CoRA,CoRA: Covariate-Aware Adaptation of Time Series Foundation Models,2510.12681,N/A,related_method,External benchmarks,Task-dependent forecasting metrics,Trainable causal/covariate conditioning,Different adaptation setting and unavailable matched two-backbone protocol,no,Related work collision only
TFMAdapter,Instance-level Adaptation of Time Series Foundation Models for Covariates,N/A,N/A,related_method,External benchmarks,Task-dependent forecasting metrics,Instance-level covariate adaptation,Trains an adapter and does not isolate native input routing,no,Related work collision only
