experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
EXP-P1B-STATE,implementation,C7,P0b calibration artifacts plus P1a report,artifact integrity,N/A,applicability_gated_router,Deterministic router state is frozen before sealed inference,verified,CPU-only prerequisite verified at commit c13fc29; not paper evidence
EXP-MAIN-1,main_comparison,C8,Four FEV tasks x two backbones,Equal-weight group-macro paired relative SQL gain,fullset_best_constant,applicability_gated_router,One-sided 95% lower bound exceeds zero,planned,First fixed-sequence test
EXP-MAIN-2,main_comparison,C9,Four FEV tasks x two backbones,Equal-weight group-macro paired relative SQL gain,ungated_ewm_router,applicability_gated_router,Conditional one-sided 95% lower bound exceeds zero,planned,Run inferential test only if EXP-MAIN-1 passes
EXP-MAIN-3,main_comparison,C8,Each FEV task-backbone group,SQL; WQL; MASE; WAPE,target_only; all_dynamic; binary_best_constant; fullset_best_constant; last_origin_winner; ungated_ewm_router; finite_candidate_oracle,applicability_gated_router,Report all groups without universal-superiority language,planned,Finite oracle is diagnostic and excluded from significance claims
EXP-SAFE-1,robustness,C10,Chronos-2 and TimesFM-3 separately,Task-macro paired relative SQL gain,fullset_best_constant,applicability_gated_router,Point gain is nonnegative for each backbone,planned,Predeclared backbone safety requirement
EXP-SAFE-2,robustness,C10,Eight task-backbone groups,Worst group mean relative SQL gain,ungated_ewm_router,applicability_gated_router,Gated worst-group downside is no worse than ungated,planned,Descriptive because there are only eight fixed groups
EXP-ABL-1,ablation,C9,Four FEV tasks x two backbones,Group-macro paired relative SQL gain,ungated_ewm_router,without_applicability_certificate,Performance is worse when unreliable groups are routed,planned,Removes COMP-4
EXP-ABL-2,ablation,C8,Inapplicable task-backbone groups,Mean SQL,target_only; binary_best_constant,replace_fullset_fallback_with_target_only,Full-set fallback is at least as strong descriptively,planned,Replaces COMP-6
EXP-ABL-3,ablation,C8,Eligible task-backbone groups,Mean SQL,fullset_best_constant,constant_only_no_dynamic_router,Dynamic routing adds value inside certified groups,planned,Removes COMP-5
EXP-ABL-4,ablation,C8,Eligible task-backbone groups,Mean SQL,last_origin_winner; unweighted_history_router,half_life_3_router,Recency-weighted history is competitive with simpler scoring,planned,Ablates COMP-3 without tuning on sealed results
EXP-DIAG-1,diagnostic,C7,Eight task-backbone groups,AUROC and one-sided lower bound,N/A,p1a_certificate,Four groups remain the immutable applicability set,verified,Calibration-only screening evidence; not a paper result
EXP-EFF-1,efficiency,C8,All four FEV tasks,Decision latency; state bytes; deployed forecast calls,fullset_best_constant; ungated_ewm_router,applicability_gated_router,Router overhead is reported without an unverified efficiency claim,planned,Separate exhaustive evaluation cost from one-policy deployment cost
